data,step,loss,micro_p,micro_r,micro_f,macro_p,macro_r,macro_f
test,50,0.22831010126583845,0.0,0.0,0.0,0.0,0.0,0.0
test,100,0.13790487873516083,0.3399014778325123,0.08170515097690942,0.1317422434367542,0.3193014572282178,0.08332331172107799,0.12037786811176934
test,150,0.11005495158698783,0.312417145382236,0.418590882178804,0.3577935222672065,0.33436108282175886,0.4231030100978688,0.37144775615423936
test,200,0.09012331323513521,0.39564007421150277,0.5050325636471285,0.44369310793237976,0.4179182867725443,0.5067766433065188,0.4553025939183318
test,250,0.08599246235269889,0.4117385504668742,0.5482534043812907,0.4702894870492636,0.4273376309453081,0.5458873544569423,0.47673728761611
test,300,0.07595158224281945,0.513960113960114,0.5340438129070456,0.523809523809524,0.5163268584183692,0.5409402138166807,0.5256649285838426
test,350,0.0812502694664947,0.4487233151946421,0.6346950858496152,0.525747915644924,0.4551327567381184,0.6316443288933826,0.5284196125639142
test,400,0.08072996566782012,0.4781115879828326,0.6595618709295441,0.554366757899975,0.4834878834110586,0.6562621832821647,0.5554272494158041
test,450,0.07084595126151624,0.5209551656920078,0.6329188869153345,0.5715049452018177,0.5163066245225016,0.6300860830847064,0.5666513696484422
test,500,0.07413737302504517,0.5150393336418325,0.6589698046181173,0.5781818181818182,0.5148554041235859,0.6559189668471682,0.5746243642832817
test,550,0.07399710479587081,0.5093666369313113,0.6761397276494967,0.5810226405494786,0.5098578981795665,0.6765891838602245,0.5801058596586044
test,600,0.07711124427942889,0.5039335664335665,0.6826524570751924,0.5798340457631381,0.5006110793322224,0.6803096089035585,0.5764971259429555
test,650,0.07739597059429211,0.49680715197956576,0.6909413854351687,0.5780089153046062,0.4990334096414421,0.6884732610281197,0.5781693546925469
test,700,0.07917338243087037,0.49767441860465117,0.6968620485494376,0.5806610754810064,0.5006346325249288,0.6936090366249535,0.5810044121316269
test,750,0.07618987641250931,0.5168086060062752,0.6826524570751924,0.588265306122449,0.5171728316856206,0.683078145797432,0.5882927874617485
test,800,0.0738376812932944,0.5334862385321101,0.6885731201894613,0.6011889377100026,0.5383244599618713,0.6870916807945057,0.6030105247979071
test,850,0.07561028223740411,0.5419415645617343,0.6808762581409118,0.6035161374967201,0.5406194228470252,0.6794476921017497,0.6017005448944392
test,900,0.07870721266649852,0.525089605734767,0.6939017169923032,0.5978066819688854,0.5267585223826078,0.6935736905378992,0.5984090639503983
test,950,0.08226748094924745,0.5192475940507436,0.7027827116637063,0.5972327044025157,0.5216927011044658,0.7023731735662673,0.5982064451664881
test,1000,0.08251203240658127,0.5217582417582417,0.7027827116637063,0.5988900100908173,0.5219150005295922,0.6991011800333473,0.5974069427409467
test,1050,0.07908844032277548,0.5485232067510548,0.6927175843694494,0.6122448979591838,0.5479737777509033,0.692152117280367,0.6116055750507938
test,1100,0.08671877040499355,0.5146551724137931,0.7069271758436945,0.5956597655275631,0.517543067320455,0.7051573539843343,0.5965959886421802
test,1150,0.08588120717861096,0.5464684014869888,0.6962699822380106,0.612340536318667,0.5475114259859132,0.6970577613745936,0.6129957052496671
test,1200,0.08545589406104923,0.5390909090909091,0.7021906453522795,0.60992543070198,0.541558178486087,0.7040229559012952,0.6115972244552188
test,1250,0.08674277070496515,0.5396897810218978,0.7004144464179988,0.6096366915743365,0.5409581720443388,0.7006200997920222,0.6104608407572756
test,1300,0.0872530981840116,0.5477293790546802,0.6998223801065719,0.6145048089420327,0.5498523869476647,0.7019050727434624,0.6161167440316646
test,1350,0.08646355083871594,0.5519511048425012,0.6950858496151568,0.6153039832285115,0.5542879631747468,0.695727564094702,0.6168715538286456
test,1400,0.08822920951414127,0.5437384898710865,0.6992303137951451,0.6117586117586118,0.5453045690916548,0.7026297136693311,0.6137666867959746
test,1450,0.08840792628537703,0.5447795823665893,0.6950858496151568,0.6108220603537982,0.546440752867128,0.6975722364815227,0.6124510154914606
test,1500,0.08782808282575545,0.5490566037735849,0.6891651865008881,0.6111840378051983,0.5511386032117056,0.6898220720705346,0.6125219234235392
test,1550,0.09134302457337795,0.5381452718136135,0.6974541148608644,0.6075296544610624,0.5394979471330027,0.6983474992615926,0.6084340497697627
test,1600,0.09138829569279801,0.5363636363636364,0.6986382474837182,0.6068398045770121,0.5378209045816434,0.7014751284787784,0.6084127398227613
test,1650,0.0905794496678766,0.5423340961098398,0.7015985790408525,0.6117707795560146,0.5444309677843917,0.7032302735051214,0.6135427378835636
,0.01380181987740798,0.8445873526259379,0.9448441247002398,0.8919071873231466,0.8478449622516677,0.9458851720343592,0.8938295938095242
